Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	Quantity	Quantity Mean	Quantity SD	RQ	RQ Min	RQ Max	CT	Ct Mean	Ct SD	Delta Ct	Delta Ct Mean	Delta Ct SE	Delta Delta Ct	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Tm1	Tm2	Tm3	MTP	EXPFAIL	NOAMP	THOLDFAIL		
95	D23	FALSO	8505 overgal3	TNFSF11	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		65.446			N	Y	Y	Y		
96	D24	FALSO	8505 overgal3	gDNA	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.502			N	Y	Y	Y		
97	E1	FALSO	8505 ut	C5	UNKNOWN	SYBR	None							28.538	28.538						VERO	0.133	VERO	1	40		78.459			N	N	N	N		
98	E2	FALSO	8505 ut	CCL20	UNKNOWN	SYBR	None							26.435	26.435						VERO	0.141	VERO	1	40		84.769			N	N	N	N		
99	E3	FALSO	8505 ut	CCL7	UNKNOWN	SYBR	None							34.401	34.401						VERO	0.307	VERO	1	40		85.031			N	N	N	N		
100	E4	FALSO	8505 ut	CCR8	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.023			N	Y	Y	Y		
101	E5	FALSO	8505 ut	CXCL10	UNKNOWN	SYBR	None							35.34	35.34						VERO	0.363	VERO	1	40		81.877			N	N	N	N		
102	E6	FALSO	8505 ut	CXCL9	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		60.845			N	Y	Y	Y		
103	E7	FALSO	8505 ut	IL10RB	UNKNOWN	SYBR	None							28.304	28.304						VERO	0.151	VERO	1	40		79.248			N	N	N	N		
104	E8	FALSO	8505 ut	IL1B	UNKNOWN	SYBR	None							21.405	21.405						VERO	0.141	VERO	1	40		85.294			N	N	N	N		
105	E9	FALSO	8505 ut	IL5RA	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.239			N	Y	Y	Y		
106	E10	FALSO	8505 ut	NAMPT	UNKNOWN	SYBR	None							20.896	20.896						VERO	0.127	VERO	1	40		77.802			N	N	N	N		
107	E11	FALSO	8505 ut	TNFSF13	UNKNOWN	SYBR	None							28.883	28.883						VERO	0.04	VERO	1	40		87.529			N	N	N	Y		
108	E12	FALSO	8505 ut	PCR	UNKNOWN	SYBR	None							19.626	19.626						VERO	0.137	VERO	1	40		78.591			N	N	N	N		
109	E13	FALSO	8505 overgal3	C5	UNKNOWN	SYBR	None							32.546	32.546						VERO	0.133	VERO	1	40		78.065			N	N	N	N		
110	E14	FALSO	8505 overgal3	CCL20	UNKNOWN	SYBR	None							33.316	33.316						VERO	0.141	VERO	1	40		84.637			N	N	N	N		
111	E15	FALSO	8505 overgal3	CCL7	UNKNOWN	SYBR	None							Undetermined							VERO	0.307	VERO	1	40		60.976			N	Y	Y	N		
112	E16	FALSO	8505 overgal3	CCR8	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.023			N	Y	Y	Y		
113	E17	FALSO	8505 overgal3	CXCL10	UNKNOWN	SYBR	None							Undetermined							VERO	0.363	VERO	1	40		67.286			N	Y	N	N		
114	E18	FALSO	8505 overgal3	CXCL9	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.892			N	Y	Y	Y		
115	E19	FALSO	8505 overgal3	IL10RB	UNKNOWN	SYBR	None							32.479	32.479						VERO	0.151	VERO	1	40		78.722			N	N	N	N		
116	E20	FALSO	8505 overgal3	IL1B	UNKNOWN	SYBR	None							29.333	29.333						VERO	0.141	VERO	1	40		84.9			N	N	N	N		
